host_time_ms,arduino_time_ms,ax,ay,az,gx,gy,gz
1777399149088,1775373,-0.78,-0.50,-0.35,3.36,-17.27,-26.25
1777399149089,1775383,-0.81,-0.51,-0.28,4.27,-3.05,-20.51
1777399149089,1775393,-0.82,-0.52,-0.25,1.89,5.13,-16.11
1777399149089,1775403,-0.82,-0.52,-0.23,-0.67,9.52,-14.95
1777399149089,1775413,-0.81,-0.52,-0.20,-3.11,11.05,-14.89
1777399149089,1775423,-0.83,-0.52,-0.17,-4.88,8.91,-31.25
1777399149090,1775443,-0.81,-0.52,-0.20,2.14,-8.67,-30.27
1777399149090,1775463,-0.73,-0.51,-0.21,9.28,-4.52,-22.16
1777399149090,1775483,-0.79,-0.53,-0.16,9.34,-0.24,-14.89
1777399149091,1775503,-0.77,-0.53,-0.15,0.98,-0.18,-8.30
1777399149091,1775513,-0.79,-0.55,-0.15,-4.21,0.61,-4.33
1777399149091,1775523,-0.81,-0.55,-0.15,-8.00,0.00,-2.38
1777399149091,1775533,-0.83,-0.55,-0.18,-9.89,-1.95,-3.23
1777399149092,1775543,-0.83,-0.56,-0.21,-10.13,-2.38,-6.96
1777399149093,1775553,-0.84,-0.55,-0.22,-6.96,-0.98,-10.50
1777399149093,1775563,-0.83,-0.55,-0.24,-2.14,0.79,-13.06
1777399149094,1775573,-0.82,-0.55,-0.24,2.75,2.32,-14.95
1777399149094,1775583,-0.81,-0.54,-0.22,5.92,4.03,-15.75
1777399149094,1775593,-0.80,-0.54,-0.21,6.41,5.62,-15.44
1777399149095,1775603,-0.78,-0.54,-0.20,4.82,6.90,-13.98
1777399149095,1775613,-0.77,-0.54,-0.19,3.23,7.39,-11.29
1777399149095,1775623,-0.76,-0.54,-0.18,1.34,7.02,-8.24
1777399149096,1775633,-0.77,-0.53,-0.15,-1.83,5.55,-6.23
1777399149096,1775643,-0.79,-0.54,-0.17,-5.00,2.38,-4.82
1777399149096,1775653,-0.80,-0.53,-0.20,-5.55,-1.65,-4.88
1777399149096,1775663,-0.83,-0.53,-0.22,-2.26,-4.27,-5.13
1777399149097,1775673,-0.85,-0.53,-0.23,2.38,-5.07,-6.23
1777399149097,1775683,-0.85,-0.53,-0.23,5.43,-5.13,-9.09
1777399149097,1775693,-0.83,-0.53,-0.24,7.08,-4.21,-12.21
