host_time_ms,arduino_time_ms,ax,ay,az,gx,gy,gz
1777399178989,1808633,-0.35,-1.07,-0.76,-12.76,-28.26,-31.43
1777399178990,1808643,-0.42,-1.01,-0.89,-37.35,-34.67,2.87
1777399178990,1808653,-0.55,-0.94,-0.99,-39.25,-30.88,29.11
1777399178990,1808663,-0.67,-0.82,-1.00,-20.81,-24.96,39.12
1777399178990,1808673,-0.74,-0.77,-0.94,9.22,-22.03,34.85
1777399178991,1808683,-0.79,-0.70,-0.76,38.33,-22.40,20.14
1777399178991,1808693,-0.77,-0.60,-0.57,54.32,-29.24,2.20
1777399178991,1808703,-0.73,-0.53,-0.44,54.50,-39.61,-10.01
1777399178992,1808713,-0.67,-0.50,-0.37,43.70,-47.85,-12.27
1777399178992,1808723,-0.65,-0.50,-0.34,26.73,-51.70,-5.74
1777399178992,1808733,-0.68,-0.51,-0.34,8.85,-48.89,8.42
1777399178993,1808743,-0.71,-0.50,-0.37,-7.08,-40.89,24.23
1777399178993,1808753,-0.79,-0.47,-0.40,-17.15,-30.03,35.16
1777399178993,1808763,-0.86,-0.44,-0.43,-19.90,-20.02,37.05
1777399178994,1808773,-0.87,-0.44,-0.46,-16.66,-13.73,28.63
1777399178994,1808783,-0.86,-0.45,-0.49,-7.20,-10.93,12.51
1777399178994,1808793,-0.83,-0.46,-0.47,7.93,-9.22,-3.91
1777399178995,1808803,-0.78,-0.46,-0.41,21.91,-5.92,-14.95
1777399178995,1808813,-0.72,-0.45,-0.36,27.47,-2.93,-19.35
1777399178995,1808823,-0.67,-0.48,-0.33,24.90,-0.37,-16.85
1777399178996,1808833,-0.64,-0.51,-0.33,17.33,3.05,-10.38
1777399178996,1808843,-0.61,-0.53,-0.33,6.59,6.29,-2.87
1777399178996,1808853,-0.60,-0.54,-0.35,-5.07,7.51,4.64
1777399178996,1808863,-0.65,-0.54,-0.37,-14.47,6.59,12.33
1777399178996,1808873,-0.69,-0.56,-0.41,-18.92,3.36,16.91
1777399178997,1808883,-0.69,-0.54,-0.44,-18.55,-1.16,15.81
1777399178997,1808893,-0.70,-0.51,-0.49,-15.50,-3.85,11.29
1777399178997,1808903,-0.71,-0.54,-0.57,-8.97,-2.14,7.02
1777399178997,1808913,-0.69,-0.56,-0.59,2.14,5.98,-8.54
1777399178998,1808933,-0.70,-0.52,-0.52,17.58,30.64,-6.90
1777399178998,1808953,-0.73,-0.56,-0.40,5.43,23.01,5.80
1777399178998,1808973,-0.75,-0.56,-0.38,-2.62,0.24,18.55
1777399178998,1808993,-0.79,-0.46,-0.45,-5.25,-18.07,22.71
1777399178999,1809003,-0.79,-0.45,-0.50,-3.85,-19.53,19.35
1777399178999,1809013,-0.79,-0.45,-0.52,-0.18,-14.71,11.78
1777399178999,1809023,-0.78,-0.47,-0.52,5.55,-5.86,3.78
1777399178999,1809033,-0.77,-0.48,-0.50,12.45,3.48,-1.10
1777399179000,1809043,-0.78,-0.47,-0.45,17.58,11.29,-3.30
1777399179000,1809053,-0.79,-0.46,-0.40,17.46,13.43,-3.17
1777399179000,1809063,-0.78,-0.47,-0.36,12.94,8.97,-0.73
1777399179000,1809073,-0.75,-0.49,-0.36,6.90,-0.37,1.46
1777399179000,1809083,-0.73,-0.50,-0.37,2.38,-10.13,3.72
1777399179001,1809093,-0.71,-0.52,-0.37,-0.12,-16.91,7.93
1777399179001,1809103,-0.70,-0.52,-0.38,-1.28,-20.94,12.57
1777399179001,1809113,-0.72,-0.52,-0.40,-0.61,-21.61,16.11
1777399179001,1809123,-0.73,-0.50,-0.43,2.69,-18.55,16.24
1777399179002,1809133,-0.73,-0.46,-0.46,6.84,-13.37,12.15
1777399179002,1809143,-0.73,-0.46,-0.47,10.13,-6.71,7.08
1777399179002,1809153,-0.74,-0.52,-0.59,14.77,0.43,1.16
1777399179002,1809163,-0.76,-0.48,-0.40,19.04,8.85,-8.36
1777399179003,1809173,-0.79,-0.48,-0.41,29.72,7.51,-15.38
1777399179003,1809183,-0.71,-0.51,-0.52,32.41,-0.43,-20.26
1777399179003,1809193,-0.72,-0.49,-0.32,24.23,-3.17,-26.00
1777399179003,1809203,-0.66,-0.58,-0.46,25.39,-8.12,-23.86
1777399179004,1809213,-0.63,-0.47,-0.20,21.91,-13.00,-21.12
1777399179004,1809223,-0.62,-0.51,-0.42,25.02,-27.59,-7.26
1777399179004,1809233,-0.59,-0.37,-0.23,9.95,-29.91,4.33
1777399179004,1809243,-0.81,-0.37,-0.34,-12.82,-31.43,15.69
1777399179005,1809253,-0.87,-0.60,-0.36,-20.63,-37.35,26.00
1777399179005,1809263,-0.84,-0.63,-0.35,-17.21,-59.69,13.18
1777399179005,1809283,-0.82,-0.65,-0.39,12.51,-55.91,1.34
1777399179005,1809303,-0.78,-0.63,-0.62,33.02,-31.56,-20.69
1777399179005,1809323,-0.77,-0.50,-0.45,62.81,9.34,-42.60
1777399179006,1809333,-0.80,-0.43,-0.37,71.04,21.36,-49.07
1777399179006,1809343,-0.78,-0.38,-0.33,71.11,22.95,-47.55
1777399179006,1809353,-0.76,-0.29,-0.28,64.45,17.40,-43.40
1777399179006,1809363,-0.70,-0.25,-0.34,54.20,8.54,-34.91
1777399179006,1809373,-0.65,-0.21,-0.33,39.00,2.38,-24.05
1777399179007,1809383,-0.63,-0.24,-0.30,19.65,-0.73,-9.28
1777399179007,1809393,-0.60,0.15,-0.74,5.07,-1.46,8.30
1777399179007,1809403,-0.73,-0.46,-1.00,36.07,26.37,51.51
1777399179007,1809413,-0.80,-0.84,-0.20,34.61,61.46,66.59
