host_time_ms,arduino_time_ms,ax,ay,az,gx,gy,gz
1777399199970,1833743,-0.91,-0.34,0.17,-19.53,-50.96,-20.57
1777399199971,1833753,-0.89,-0.35,0.13,-13.73,-40.47,-23.19
1777399199971,1833763,-0.87,-0.37,0.11,-5.31,-21.42,-20.45
1777399199971,1833773,-0.85,-0.41,0.15,1.89,0.37,-14.53
1777399199972,1833793,-0.83,-0.45,0.27,0.73,26.06,-4.70
1777399199972,1833813,-0.85,-0.43,0.26,-15.93,6.65,-11.60
1777399199972,1833833,-0.84,-0.42,0.15,-20.45,-7.75,-19.78
1777399199972,1833853,-0.85,-0.42,0.11,-13.24,-2.87,-16.60
1777399199973,1833863,-0.85,-0.42,0.12,-6.59,2.75,-11.90
1777399199973,1833873,-0.86,-0.42,0.15,0.85,8.61,-7.08
1777399199973,1833883,-0.86,-0.43,0.21,5.37,11.90,-4.94
1777399199973,1833893,-0.86,-0.44,0.24,6.04,10.25,-6.35
1777399199973,1833903,-0.85,-0.44,0.26,3.48,5.00,-10.01
1777399199974,1833913,-0.85,-0.44,0.26,-0.61,-0.92,-14.83
1777399199974,1833923,-0.85,-0.45,0.23,-4.09,-5.49,-18.55
1777399199975,1833933,-0.83,-0.45,0.20,-5.62,-7.14,-19.10
1777399199975,1833943,-0.84,-0.44,0.18,-5.49,-5.07,-16.85
1777399199975,1833953,-0.84,-0.45,0.18,-4.27,-1.28,-12.15
1777399199976,1833963,-0.84,-0.46,0.19,-1.46,2.26,-7.51
1777399199976,1833973,-0.85,-0.45,0.20,1.22,3.36,-4.76
1777399199976,1833983,-0.85,-0.46,0.21,2.20,1.59,-3.60
1777399199977,1833993,-0.86,-0.45,0.22,1.65,-0.85,-4.76
1777399199977,1834003,-0.86,-0.45,0.22,-0.31,-2.87,-7.87
1777399199977,1834013,-0.84,-0.45,0.21,-2.14,-4.76,-11.29
1777399199977,1834023,-0.83,-0.45,0.21,-3.91,-5.86,-13.98
1777399199978,1834033,-0.82,-0.45,0.19,-5.25,-7.02,-14.59
1777399199978,1834043,-0.81,-0.45,0.18,-5.62,-7.69,-13.24
1777399199978,1834053,-0.81,-0.44,0.16,-4.94,-7.39,-10.74
1777399199978,1834063,-0.82,-0.43,0.15,-3.60,-5.68,-7.39
1777399199979,1834073,-0.84,-0.43,0.16,-1.65,-2.32,-5.07
1777399199979,1834083,-0.84,-0.43,0.16,0.37,1.04,-4.46
1777399199979,1834093,-0.84,-0.44,0.17,1.34,3.36,-4.39
1777399199979,1834103,-0.85,-0.45,0.18,1.53,4.09,-4.64
1777399199979,1834113,-0.84,-0.45,0.20,0.37,3.23,-5.25
1777399199980,1834123,-0.84,-0.45,0.20,-1.40,-14.47,-6.71
1777399199980,1834143,-0.84,-0.44,0.19,-3.11,-1.83,-7.57
1777399199980,1834163,-0.84,-0.45,0.20,-2.62,-1.77,-7.26
1777399199980,1834183,-0.82,-0.46,0.19,-2.32,0.98,-6.47
1777399199981,1834203,-0.81,-0.47,0.19,-3.48,3.05,-5.74
1777399199981,1834213,-0.81,-0.47,0.18,-3.85,2.14,-5.19
1777399199981,1834223,-0.82,-0.46,0.19,-4.33,0.85,-4.76
1777399199981,1834233,-0.84,-0.46,0.19,-4.76,-0.12,-4.39
1777399199981,1834243,-0.85,-0.45,0.19,-4.15,-0.06,-3.85
1777399199982,1834253,-0.86,-0.45,0.18,-3.72,0.61,-3.97
1777399199982,1834263,-0.87,-0.46,0.18,-5.07,1.59,-5.19
1777399199982,1834273,-0.88,-0.46,0.17,-7.20,1.59,-6.47
1777399199982,1834283,-0.88,-0.45,0.14,-8.18,0.92,-6.90
1777399199983,1834293,-0.87,-0.45,0.13,-7.39,0.85,-6.29
1777399199983,1834303,-0.87,-0.46,0.13,-5.25,1.04,-5.49
1777399199983,1834313,-0.86,-0.47,0.14,-3.05,0.92,-5.19
1777399199983,1834323,-0.85,-0.47,0.15,-1.71,0.31,-5.37
1777399199983,1834333,-0.84,-0.47,0.16,-1.22,0.00,-5.43
1777399199984,1834343,-0.84,-0.47,0.16,-1.40,0.24,-5.86
1777399199984,1834353,-0.83,-0.48,0.16,-2.69,0.98,-6.77
1777399199984,1834363,-0.83,-0.49,0.14,-3.85,1.65,-6.90
1777399199984,1834373,-0.82,-0.49,0.14,-3.97,2.44,-6.29
1777399199984,1834383,-0.82,-0.49,0.14,-2.99,2.87,-4.88
1777399199985,1834393,-0.82,-0.49,0.14,-1.71,1.95,-3.17
1777399199985,1834403,-0.83,-0.49,0.14,-1.10,0.61,-1.22
1777399199985,1834413,-0.84,-0.49,0.15,-0.24,-0.18,0.43
1777399199985,1834423,-0.84,-0.48,0.15,1.10,0.18,1.16
1777399199985,1834433,-0.85,-0.48,0.16,1.83,1.53,0.85
1777399199986,1834443,-0.86,-0.48,0.16,0.92,2.44,-0.12
1777399199986,1834453,-0.87,-0.47,0.16,-0.98,2.50,-1.77
1777399199986,1834463,-0.88,-0.47,0.15,-2.56,1.28,-3.17
1777399199986,1834483,-0.87,-0.47,0.11,-0.43,2.01,-4.88
1777399199986,1834503,-0.86,-0.48,0.10,3.72,7.32,-2.56
1777399199987,1834523,-0.85,-0.48,0.14,3.30,8.24,-2.75
1777399199987,1834543,-0.84,-0.48,0.13,1.40,1.89,-4.15
1777399199987,1834553,-0.85,-0.48,0.12,-0.49,-1.10,-5.55
1777399199987,1834563,-0.86,-0.47,0.10,-1.46,-2.69,-6.23
1777399199988,1834573,-0.86,-0.47,0.09,-0.73,-1.95,-5.62
1777399199988,1834583,-0.86,-0.46,0.08,1.10,0.98,-4.39
1777399199988,1834593,-0.87,-0.46,0.09,2.81,4.94,-3.66
1777399199988,1834603,-0.86,-0.46,0.10,4.52,8.79,-2.81
1777399199989,1834613,-0.86,-0.46,0.11,5.74,11.41,-2.08
1777399199989,1834623,-0.86,-0.47,0.12,5.00,11.60,-2.56
1777399199989,1834633,-0.85,-0.48,0.12,2.87,9.28,-4.09
1777399199989,1834643,-0.84,-0.48,0.11,0.49,5.13,-5.80
1777399199989,1834653,-0.84,-0.47,0.09,-0.61,0.85,-7.45
1777399199989,1834663,-0.85,-0.47,0.09,-0.61,-1.65,-7.81
1777399199990,1834673,-0.85,-0.47,0.09,0.31,-2.20,-7.14
1777399199990,1834683,-0.86,-0.47,0.09,1.28,-1.16,-6.47
1777399199990,1834693,-0.86,-0.47,0.09,1.89,0.55,-5.98
1777399199990,1834703,-0.86,-0.47,0.09,2.44,2.62,-5.19
1777399199990,1834713,-0.86,-0.46,0.09,2.87,4.64,-4.82
1777399199991,1834723,-0.86,-0.47,0.09,3.48,6.29,-4.33
1777399199991,1834733,-0.85,-0.47,0.09,4.88,7.75,-3.48
1777399199991,1834743,-0.85,-0.47,0.11,5.86,8.67,-3.42
1777399199991,1834753,-0.85,-0.48,0.12,4.46,6.77,-4.58
1777399199991,1834763,-0.84,-0.48,0.10,2.20,2.32,-5.80
1777399199992,1834773,-0.84,-0.47,0.07,0.43,-1.89,-5.86
1777399199992,1834783,-0.84,-0.47,0.05,0.73,-3.66,-4.82
1777399199992,1834793,-0.84,-0.47,0.05,2.75,-3.17,-3.11
1777399199992,1834803,-0.85,-0.47,0.06,5.07,-2.01,-1.40
1777399199992,1834813,-0.85,-0.47,0.06,6.35,-1.65,-0.06
1777399199992,1834833,-0.86,-0.46,0.08,7.93,-4.58,2.62
1777399199993,1834853,-0.89,-0.49,0.06,9.40,-7.39,3.23
1777399199993,1834873,-0.90,-0.50,0.04,13.12,-6.47,2.93
1777399199993,1834893,-0.92,-0.50,0.02,21.42,-6.23,6.59
1777399199993,1834903,-0.97,-0.52,0.00,25.63,-8.48,9.28
1777399199993,1834913,-0.96,-0.54,-0.02,30.27,-12.76,13.55
1777399199993,1834923,-0.96,-0.52,-0.06,36.56,-18.86,18.01
1777399199994,1834933,-0.97,-0.49,-0.07,44.49,-26.25,23.93
1777399199994,1834943,-0.97,-0.45,-0.07,54.08,-35.16,31.80
1777399199994,1834953,-0.98,-0.46,-0.08,63.35,-44.37,40.59
1777399199994,1834963,-0.97,-0.47,-0.05,70.98,-52.06,46.51
1777399199994,1834973,-0.97,-0.48,-0.04,78.00,-59.02,48.10
1777399199995,1834983,-0.70,-0.23,-0.05,83.31,-66.04,50.29
1777399199995,1834993,-1.01,-0.47,-0.01,80.81,-71.72,63.96
1777399199995,1835003,-1.09,-0.49,0.05,98.82,-91.31,59.27
1777399199995,1835013,-0.96,-0.52,0.12,109.68,-117.00,47.12
1777399199995,1835023,-0.93,-0.43,0.15,113.59,-132.45,35.52
1777399199996,1835033,-0.96,-0.34,0.20,117.07,-139.34,23.32
1777399199996,1835043,-0.98,-0.31,0.34,110.96,-141.36,5.98
1777399199996,1835053,-0.98,-0.29,0.44,100.52,-140.50,-10.13
1777399199996,1835063,-1.00,-0.25,0.49,88.20,-135.62,-23.68
1777399199996,1835073,-0.98,-0.24,0.50,74.40,-126.83,-35.34
1777399199996,1835083,-0.96,-0.23,0.49,64.39,-115.97,-44.80
1777399199997,1835093,-0.92,-0.22,0.48,59.39,-106.63,-52.61
1777399199997,1835103,-0.88,-0.21,0.47,58.78,-100.95,-59.27
1777399199997,1835113,-0.81,-0.19,0.50,63.05,-97.47,-64.64
1777399199997,1835123,-0.74,-0.18,0.54,67.63,-96.62,-67.81
1777399199997,1835133,-0.67,-0.16,0.60,70.07,-98.51,-69.58
1777399199998,1835143,-0.61,-0.17,0.68,66.83,-99.91,-67.75
1777399199998,1835153,-0.58,-0.20,0.74,55.05,-98.82,-62.07
1777399199998,1835173,-0.57,-0.33,0.74,2.75,-58.23,-45.35
1777399199998,1835193,-0.58,-0.33,0.70,-14.10,-22.34,-43.09
1777399199998,1835213,-0.56,-0.30,0.68,-18.98,-9.83,-43.33
1777399199999,1835233,-0.57,-0.33,0.63,-15.99,-5.19,-41.50
1777399199999,1835243,-0.46,-0.32,0.63,-12.76,-3.42,-36.74
1777399199999,1835253,-0.42,-0.34,0.52,-4.09,-0.98,-25.39
1777399199999,1835263,-0.51,-0.34,0.59,6.84,3.11,-11.96
1777399199999,1835273,-0.51,-0.40,0.57,9.03,4.03,-6.29
1777399199999,1835283,-0.51,-0.37,0.58,11.05,4.94,-4.64
1777399200000,1835293,-0.52,-0.36,0.58,8.97,5.74,-3.78
1777399200000,1835303,-0.54,-0.38,0.55,3.72,3.48,-4.03
1777399200000,1835313,-0.52,-0.34,0.57,-1.22,-2.38,-4.52
1777399200000,1835323,-0.52,-0.30,0.58,-6.29,-8.97,-5.13
1777399200000,1835333,-0.51,-0.28,0.57,-11.60,-15.50,-5.43
1777399200000,1835343,-0.49,-0.27,0.58,-14.34,-19.96,-3.36
1777399200001,1835353,-0.50,-0.27,0.57,-12.33,-21.91,1.65
1777399200001,1835363,-0.51,-0.26,0.58,-6.47,-20.63,7.75
1777399200001,1835373,-0.53,-0.25,0.62,-0.79,-17.09,13.00
1777399200001,1835383,-0.55,-0.25,0.67,3.54,-13.12,16.05
1777399200001,1835393,-0.59,-0.24,0.72,6.90,-6.84,15.50
1777399200001,1835403,-0.61,-0.25,0.74,6.90,2.20,11.66
1777399200002,1835413,-0.64,-0.26,0.77,1.53,11.54,5.13
1777399200002,1835423,-0.67,-0.27,0.78,-7.39,17.27,-2.32
1777399200002,1835433,-0.65,-0.28,0.75,-13.31,19.78,-6.23
1777399200002,1835443,-0.59,-0.29,0.68,-14.71,22.77,-3.85
1777399200002,1835453,-0.58,-0.31,0.63,-14.59,29.42,2.99
1777399200002,1835463,-0.61,-0.33,0.60,-13.79,37.78,10.86
1777399200003,1835473,-0.67,-0.35,0.59,-9.58,45.47,18.13
1777399200003,1835483,-0.70,-0.36,0.57,-2.99,52.67,23.01
1777399200003,1835493,-0.72,-0.36,0.56,0.43,62.44,24.35
1777399200003,1835503,-0.75,-0.37,0.58,-0.37,75.74,20.14
1777399200003,1835523,-0.81,-0.34,0.61,-18.49,101.62,17.76
1777399200003,1835543,-0.86,-0.32,0.54,-35.64,97.17,18.62
1777399200004,1835563,-0.88,-0.31,0.43,-40.47,94.30,22.95
1777399200004,1835583,-0.90,-0.34,0.39,-35.34,97.29,23.38
1777399200004,1835593,-0.89,-0.35,0.39,-36.01,99.49,21.30
1777399200004,1835603,-0.90,-0.35,0.37,-38.70,99.91,17.64
1777399200004,1835613,-0.91,-0.34,0.37,-43.21,96.86,12.94
1777399200004,1835623,-0.90,-0.35,0.34,-48.65,88.99,8.67
1777399200005,1835633,-0.90,-0.35,0.31,-52.31,78.19,5.68
1777399200005,1835643,-0.88,-0.32,0.26,-51.88,64.51,4.03
1777399200005,1835653,-0.90,-0.33,0.19,-49.80,51.70,4.09
1777399200005,1835663,-0.91,-0.39,0.16,-48.16,46.02,6.29
1777399200005,1835673,-0.91,-0.38,0.14,-41.32,43.58,6.77
1777399200005,1835683,-0.91,-0.39,0.09,-31.86,43.33,7.39
1777399200006,1835693,-0.90,-0.41,0.10,-24.84,45.90,8.30
1777399200006,1835703,-0.89,-0.42,0.11,-20.45,48.10,7.39
1777399200006,1835713,-0.89,-0.41,0.12,-19.35,47.00,5.31
1777399200006,1835723,-0.89,-0.40,0.12,-20.94,42.30,3.11
1777399200006,1835733,-0.90,-0.39,0.11,-23.25,35.89,1.77
1777399200006,1835743,-0.92,-0.39,0.10,-24.41,29.48,0.85
1777399200007,1835753,-0.92,-0.38,0.09,-23.86,24.11,-0.31
1777399200007,1835763,-0.93,-0.36,0.10,-21.55,19.53,-0.85
1777399200007,1835773,-0.93,-0.37,0.10,-17.88,14.77,-0.31
1777399200007,1835783,-0.93,-0.38,0.09,-14.40,9.58,0.61
1777399200007,1835793,-0.94,-0.38,0.08,-12.21,4.39,2.01
1777399200007,1835803,-0.94,-0.38,0.08,-10.99,-0.43,3.97
1777399200007,1835813,-0.95,-0.37,0.09,-10.01,-4.27,5.07
1777399200008,1835823,-0.96,-0.36,0.09,-9.28,-6.96,4.39
1777399200008,1835833,-0.96,-0.35,0.10,-8.73,-7.93,3.05
1777399200008,1835843,-0.96,-0.34,0.11,-8.36,-8.24,1.77
1777399200008,1835863,-0.95,-0.33,0.12,-5.74,-9.28,-1.89
1777399200008,1835883,-0.94,-0.33,0.14,-4.70,-10.01,-2.93
1777399200008,1835903,-0.93,-0.35,0.12,-4.58,-9.77,-4.52
1777399200009,1835923,-0.91,-0.34,0.12,-2.38,-7.14,-2.56
1777399200009,1835933,-0.92,-0.35,0.14,-2.62,-6.41,-1.95
1777399200009,1835943,-0.91,-0.35,0.14,-3.54,-7.39,-2.26
1777399200009,1835953,-0.90,-0.35,0.12,-3.91,-9.16,-2.14
1777399200009,1835963,-0.90,-0.35,0.11,-3.66,-10.38,-1.46
1777399200009,1835973,-0.89,-0.35,0.11,-3.48,-10.80,-1.46
1777399200009,1835983,-0.89,-0.35,0.12,-3.17,-10.38,-2.26
1777399200010,1835993,-0.90,-0.35,0.12,-2.99,-9.34,-2.26
1777399200010,1836003,-0.90,-0.36,0.11,-3.23,-8.12,-1.71
1777399200010,1836013,-0.90,-0.35,0.11,-3.60,-6.77,-1.71
1777399200010,1836023,-0.91,-0.34,0.11,-3.97,-5.55,-1.89
1777399200010,1836033,-0.92,-0.35,0.10,-4.27,-5.13,-1.77
1777399200010,1836043,-0.92,-0.35,0.09,-4.21,-4.88,-1.95
1777399200010,1836053,-0.93,-0.34,0.08,-3.60,-4.58,-2.08
1777399200010,1836063,-0.93,-0.33,0.08,-1.95,-4.39,-1.59
1777399200011,1836073,-0.94,-0.32,0.09,-0.55,-3.85,-1.53
1777399200011,1836083,-0.94,-0.33,0.11,0.24,-3.48,-1.89
1777399200011,1836093,-0.93,-0.34,0.10,0.73,-3.85,-3.05
1777399200011,1836103,-0.93,-0.34,0.11,0.43,-4.39,-4.58
1777399200011,1836113,-0.92,-0.35,0.11,-0.18,-4.64,-6.29
1777399200011,1836123,-0.91,-0.35,0.10,0.18,-4.88,-7.51
1777399200011,1836133,-0.90,-0.34,0.11,0.73,-4.88,-7.69
1777399200012,1836143,-0.90,-0.35,0.12,0.98,-5.00,-6.59
1777399200012,1836153,-0.90,-0.35,0.13,0.92,-5.43,-4.82
1777399200012,1836163,-0.90,-0.35,0.13,1.10,-6.04,-3.42
1777399200012,1836173,-0.90,-0.35,0.13,1.40,-6.04,-2.56
