host_time_ms,arduino_time_ms,ax,ay,az,gx,gy,gz
1777399349968,1981766,-0.56,-1.00,-0.16,46.69,-21.67,-4.94
1777399349968,1981776,-0.60,-0.99,-0.13,48.83,-23.38,-7.14
1777399349968,1981786,-0.61,-0.96,-0.09,51.57,-25.21,-11.23
1777399349968,1981796,-0.60,-0.91,-0.02,54.63,-23.99,-15.32
1777399349969,1981806,-0.56,-0.91,0.03,55.91,-23.38,-18.80
1777399349969,1981816,-0.49,-0.93,0.07,56.46,-24.23,-21.97
1777399349969,1981826,-0.42,-0.94,0.08,56.09,-27.34,-23.38
1777399349969,1981846,-0.37,-0.89,0.07,38.82,-18.49,-2.93
1777399349970,1981866,-0.46,-0.96,0.11,28.87,-4.64,6.29
1777399349970,1981886,-0.53,-0.95,0.15,28.50,-11.41,1.40
1777399349970,1981906,-0.47,-0.90,0.20,31.01,-22.16,-5.31
1777399349971,1981916,-0.45,-0.90,0.21,30.21,-26.67,-4.82
1777399349971,1981926,-0.45,-0.89,0.20,28.32,-29.36,-2.01
1777399349972,1981936,-0.46,-0.91,0.18,25.82,-28.75,2.01
1777399349972,1981946,-0.50,-0.92,0.16,24.23,-23.86,5.98
1777399349972,1981956,-0.55,-0.96,0.17,24.17,-15.01,8.54
1777399349973,1981966,-0.60,-1.00,0.21,24.54,-7.69,7.69
1777399349973,1981976,-0.63,-1.02,0.25,24.29,-7.75,4.15
1777399349973,1981986,-0.67,-1.03,0.28,23.86,-12.57,-2.08
1777399349974,1981996,-0.65,-1.02,0.27,22.52,-19.53,-10.13
1777399349974,1982006,-0.61,-1.00,0.26,21.67,-24.11,-17.09
1777399349974,1982016,-0.55,-0.99,0.26,21.12,-25.15,-20.26
1777399349974,1982026,-0.52,-0.96,0.27,20.87,-22.64,-18.43
1777399349975,1982036,-0.50,-0.94,0.30,18.68,-18.13,-14.28
1777399349975,1982046,-0.48,-0.91,0.30,13.06,-14.77,-10.38
1777399349975,1982056,-0.47,-0.90,0.26,6.65,-11.60,-5.98
1777399349975,1982066,-0.49,-0.89,0.24,2.44,-6.29,-0.79
1777399349976,1982076,-0.52,-0.88,0.23,0.55,-0.85,3.17
1777399349976,1982086,-0.55,-0.87,0.21,0.00,2.99,3.97
1777399349976,1982096,-0.57,-0.87,0.21,0.43,4.82,2.14
1777399349977,1982106,-0.57,-0.85,0.20,1.89,3.11,-0.85
1777399349977,1982116,-0.55,-0.83,0.20,4.03,-0.24,-3.60
1777399349977,1982126,-0.54,-0.82,0.19,5.92,-2.81,-4.94
1777399349977,1982136,-0.53,-0.80,0.20,7.32,-3.91,-6.16
1777399349978,1982146,-0.51,-0.80,0.20,7.08,-4.64,-7.26
1777399349978,1982156,-0.51,-0.77,0.20,7.14,-5.31,-6.90
1777399349978,1982166,-0.50,-0.75,0.20,7.02,-6.16,-4.82
1777399349978,1982176,-0.50,-0.75,0.19,5.86,-7.51,1.46
1777399349979,1982196,-0.50,-0.76,0.18,10.44,-7.81,5.68
1777399349979,1982216,-0.51,-0.80,0.18,27.16,-6.23,2.44
1777399349979,1982236,-0.48,-0.74,0.18,45.78,-7.63,-2.44
1777399349979,1982256,-0.50,-0.70,0.20,50.05,-7.20,-1.89
1777399349980,1982266,-0.53,-0.70,0.22,46.94,-5.55,0.18
1777399349980,1982276,-0.53,-0.67,0.23,42.18,-4.09,2.32
1777399349980,1982286,-0.44,-0.60,0.22,40.59,-5.98,3.66
1777399349980,1982296,-0.65,-0.78,0.22,39.43,-6.65,8.79
1777399349981,1982306,-0.60,-0.77,0.22,36.74,-3.72,13.73
1777399349981,1982316,-0.65,-0.79,0.26,43.95,-5.19,12.15
1777399349981,1982326,-0.49,-0.84,0.18,63.05,-18.13,20.26
1777399349981,1982336,-0.49,-0.74,0.19,76.48,-21.48,7.26
1777399349982,1982346,-0.50,-0.68,0.19,81.79,-27.71,-7.93
1777399349982,1982356,-0.49,-0.74,0.19,85.33,-28.32,-11.35
1777399349983,1982366,-0.48,-0.73,0.21,90.58,-26.55,-13.92
1777399349983,1982376,-0.48,-0.73,0.27,95.21,-26.37,-16.30
1777399349983,1982386,-0.48,-0.73,0.36,98.88,-25.76,-16.42
1777399349983,1982396,-0.46,-0.70,0.43,98.51,-23.99,-16.05
1777399349983,1982406,-0.40,-0.64,0.47,89.42,-25.39,-14.59
1777399349984,1982416,-0.39,-0.59,0.54,69.52,-24.90,-10.25
1777399349984,1982426,-0.37,-0.63,0.57,45.78,-24.17,-0.49
1777399349984,1982436,-0.36,-0.67,0.55,30.27,-27.95,9.22
1777399349984,1982446,-0.38,-0.68,0.54,22.22,-30.27,15.81
1777399349985,1982456,-0.40,-0.72,0.51,18.92,-28.81,20.26
1777399349985,1982466,-0.43,-0.76,0.45,23.32,-23.93,22.28
1777399349985,1982476,-0.50,-0.73,0.46,33.87,-13.98,20.63
1777399349985,1982486,-0.54,-0.70,0.52,41.56,-5.07,17.82
1777399349985,1982496,-0.60,-0.69,0.57,40.83,-2.14,15.14
1777399349986,1982506,-0.62,-0.69,0.63,34.12,-4.58,12.70
1777399349986,1982516,-0.63,-0.72,0.67,24.66,-14.10,10.13
1777399349986,1982536,-0.62,-0.70,0.58,7.26,-45.04,7.26
1777399349986,1982556,-0.61,-0.65,0.37,14.71,-30.21,10.13
1777399349986,1982576,-0.71,-0.89,0.52,35.28,4.64,18.62
