host_time_ms,arduino_time_ms,ax,ay,az,gx,gy,gz
1777399325982,1943086,-0.28,-0.63,-0.37,72.81,-38.88,-12.08
1777399325982,1943096,-0.26,-0.65,-0.42,79.77,-45.84,-10.01
1777399325983,1943106,-0.27,-0.68,-0.46,93.38,-47.91,-5.80
1777399325983,1943116,-0.29,-0.72,-0.50,110.41,-44.25,2.93
1777399325983,1943126,-0.35,-0.77,-0.47,125.18,-33.39,12.88
1777399325984,1943136,-0.45,-0.82,-0.38,136.66,-18.68,19.41
1777399325984,1943146,-0.57,-0.89,-0.22,142.88,-5.92,13.24
1777399325984,1943166,-0.70,-1.01,0.09,140.50,-39.73,-2.87
1777399325984,1943186,-0.60,-1.06,0.13,128.23,-69.03,-12.63
1777399325985,1943206,-0.66,-1.13,0.08,114.44,-59.57,-1.77
1777399325985,1943226,-0.66,-1.18,0.01,118.10,-18.68,4.58
1777399325985,1943236,-0.67,-1.15,0.05,121.77,1.22,4.39
1777399325985,1943246,-0.66,-1.12,0.13,121.77,13.24,3.54
1777399325985,1943256,-0.61,-1.08,0.22,117.55,15.32,3.05
1777399325986,1943266,-0.44,-0.91,0.59,101.62,7.63,6.04
1777399325986,1943276,-0.76,-0.93,0.34,58.96,-9.64,15.69
1777399325987,1943286,-0.72,-1.21,0.17,41.63,-22.28,17.64
1777399325987,1943296,-0.66,-1.19,0.17,47.97,-28.50,6.96
1777399325987,1943306,-0.62,-1.06,0.18,60.42,-32.59,-0.98
1777399325988,1943316,-0.58,-0.98,0.18,62.26,-32.53,-1.53
1777399325988,1943326,-0.63,-1.02,0.17,58.04,-26.67,2.50
1777399325988,1943336,-0.57,-0.95,0.11,52.31,-15.44,5.55
1777399325989,1943346,-0.54,-0.96,0.12,50.66,-0.37,8.36
1777399325989,1943356,-0.56,-0.95,0.17,47.49,11.11,10.80
1777399325989,1943366,-0.62,-0.92,0.26,45.29,18.86,13.24
1777399325989,1943376,-0.67,-0.94,0.33,40.71,18.68,14.04
1777399325989,1943386,-0.60,-0.83,0.35,37.05,8.67,10.50
1777399325990,1943396,-0.39,-0.63,0.39,30.76,-3.36,13.79
1777399325990,1943406,-0.56,-0.75,0.32,19.47,-12.15,34.24
1777399325990,1943416,-0.89,-0.95,0.29,9.89,-11.72,37.78
1777399325990,1943426,-0.66,-0.83,0.28,8.48,-11.90,15.63
1777399325991,1943436,-0.54,-0.82,0.22,13.43,-18.13,3.91
1777399325991,1943446,-0.59,-0.79,0.17,19.78,-15.69,0.73
1777399325991,1943456,-0.59,-0.74,0.19,23.44,-6.96,-3.36
1777399325991,1943466,-0.60,-0.73,0.23,22.58,2.26,-5.31
1777399325991,1943476,-0.60,-0.73,0.26,19.59,7.20,-4.21
1777399325992,1943486,-0.63,-0.73,0.28,16.05,8.06,-3.91
1777399325992,1943506,-0.61,-0.74,0.30,8.67,-1.59,-9.83
1777399325992,1943526,-0.58,-0.75,0.29,6.29,-5.98,-7.75
1777399325992,1943546,-0.56,-0.71,0.29,8.12,-5.49,-9.95
1777399325992,1943566,-0.54,-0.69,0.29,8.79,-4.39,-7.63
1777399325993,1943576,-0.54,-0.71,0.28,9.22,-4.39,-5.00
1777399325993,1943586,-0.52,-0.72,0.27,10.86,-3.97,-2.75
1777399325993,1943596,-0.52,-0.70,0.27,13.18,-2.99,-1.77
1777399325993,1943606,-0.52,-0.69,0.27,14.16,-1.53,-0.61
1777399325994,1943616,-0.52,-0.71,0.28,14.40,-0.43,0.73
1777399325994,1943626,-0.53,-0.72,0.28,15.63,-1.16,1.16
1777399325994,1943636,-0.53,-0.71,0.26,18.25,-4.15,-0.67
1777399325994,1943646,-0.53,-0.70,0.27,22.22,-6.53,-2.87
1777399325995,1943656,-0.52,-0.69,0.28,26.61,-9.28,-3.30
1777399325995,1943666,-0.52,-0.69,0.28,30.15,-12.51,-3.30
1777399325995,1943676,-0.54,-0.72,0.28,33.87,-14.34,-2.87
1777399325995,1943686,-0.52,-0.74,0.25,41.08,-16.78,0.55
1777399325995,1943696,-0.49,-0.72,0.22,50.78,-17.58,0.43
1777399325996,1943706,-0.50,-0.75,0.16,61.95,-15.14,0.12
1777399325996,1943716,-0.53,-0.75,0.17,81.05,-8.00,1.77
1777399325996,1943726,-0.57,-0.74,0.30,99.24,-4.21,3.17
1777399325996,1943736,-0.57,-0.71,0.34,108.03,-6.96,-0.06
1777399325996,1943746,-0.59,-0.67,0.43,113.10,-7.45,-4.27
1777399325997,1943756,-0.60,-0.66,0.49,112.00,-11.72,-7.20
1777399325997,1943766,-0.59,-0.66,0.51,108.83,-18.37,-8.91
1777399325997,1943776,-0.59,-0.67,0.45,109.01,-24.60,-9.89
1777399325997,1943786,-0.57,-0.68,0.49,119.32,-27.83,-8.30
1777399325997,1943796,-0.55,-0.62,0.44,123.78,-27.47,-4.39
1777399325998,1943806,-0.56,-0.59,0.58,125.18,-22.89,-0.61
1777399325998,1943816,-0.60,-0.61,0.47,122.56,-20.20,4.33
1777399325998,1943826,-0.64,-0.61,0.37,139.77,-15.87,3.60
1777399325998,1943836,-0.62,-0.63,0.56,164.55,-11.05,1.71
1777399325998,1943856,-0.54,-0.42,0.70,124.21,-20.81,-1.34
1777399325999,1943876,-0.57,-0.39,0.69,72.27,-24.60,1.53
1777399325999,1943896,-0.55,-0.45,0.68,53.34,-20.14,6.59
1777399325999,1943916,-0.61,-0.45,0.67,43.88,-12.33,10.56
1777399325999,1943926,-0.62,-0.48,0.68,43.15,-8.97,9.70
1777399326000,1943936,-0.62,-0.48,0.68,44.19,-8.67,6.90
1777399326000,1943946,-0.62,-0.47,0.70,46.45,-9.58,5.43
1777399326000,1943956,-0.62,-0.45,0.73,48.95,-10.50,5.86
1777399326000,1943966,-0.60,-0.48,0.73,49.87,-11.29,7.63
1777399326000,1943976,-0.60,-0.50,0.72,47.42,-10.13,8.00
1777399326000,1943986,-0.62,-0.39,0.75,46.39,-7.45,6.04
1777399326001,1943996,-0.60,-0.42,0.70,44.56,-6.10,7.81
1777399326001,1944006,-0.58,-0.38,0.76,37.60,-2.75,7.32
1777399326001,1944016,-0.57,-0.37,0.63,30.58,0.37,8.67
1777399326001,1944026,-0.59,-0.42,0.57,27.04,8.97,8.85
1777399326001,1944036,-0.63,-0.41,0.61,26.31,23.44,5.25
1777399326002,1944046,-0.64,-0.38,0.68,23.25,32.78,0.92
1777399326002,1944056,-0.65,-0.36,0.73,18.86,33.69,-1.46
1777399326002,1944066,-0.64,-0.38,0.72,12.02,27.47,-0.98
1777399326002,1944076,-0.65,-0.39,0.71,6.59,18.86,0.55
1777399326002,1944086,-0.64,-0.40,0.66,7.39,9.83,3.72
1777399326002,1944096,-0.63,-0.44,0.61,13.06,3.48,7.08
1777399326003,1944106,-0.61,-0.45,0.58,21.55,0.98,7.26
1777399326003,1944116,-0.60,-0.45,0.57,28.99,2.75,5.49
1777399326003,1944126,-0.68,-0.47,0.87,34.42,4.46,4.76
1777399326003,1944136,-0.62,-0.53,0.66,39.12,-8.36,0.43
1777399326003,1944146,-0.65,-0.38,0.70,40.04,-12.33,-6.77
