host_time_ms,arduino_time_ms,ax,ay,az,gx,gy,gz
1777399331866,1965306,-0.42,-0.75,0.06,165.10,8.30,26.31
1777399331866,1965326,-0.54,-0.72,0.26,148.25,1.89,41.69
1777399331867,1965336,-0.53,-0.65,0.21,140.38,-15.08,54.87
1777399331867,1965346,-0.67,-0.64,0.47,120.36,-30.40,54.02
1777399331867,1965356,-0.72,-0.51,0.45,60.61,-56.70,40.16
1777399331867,1965366,-0.69,-0.70,-0.09,36.25,-73.67,37.66
1777399331868,1965376,-0.67,-1.03,-0.05,74.46,-62.13,44.13
1777399331868,1965386,-0.68,-0.91,0.22,127.38,-44.62,36.56
1777399331868,1965396,-0.69,-0.68,0.59,152.28,-35.71,27.71
1777399331868,1965406,-0.73,-0.68,0.64,134.40,-42.18,25.45
1777399331869,1965416,-0.79,-0.82,0.52,108.34,-47.00,29.24
1777399331869,1965426,-0.84,-0.88,0.49,91.13,-42.42,33.45
1777399331869,1965436,-0.88,-0.88,0.42,79.59,-35.03,33.33
1777399331869,1965446,-0.87,-0.89,0.40,70.31,-21.24,33.20
1777399331870,1965456,-0.87,-0.93,0.40,60.24,-5.00,33.45
1777399331870,1965466,-0.91,-0.97,0.43,51.70,9.16,31.56
1777399331870,1965476,-0.97,-1.03,0.51,47.12,16.54,24.72
1777399331870,1965486,-0.94,-1.10,0.58,48.95,8.79,12.27
1777399331871,1965496,-0.92,-1.09,0.62,54.87,-11.41,-2.93
1777399331871,1965506,-0.84,-1.02,0.59,58.59,-31.68,-15.63
1777399331871,1965516,-0.75,-0.97,0.57,57.80,-41.63,-20.63
1777399331872,1965526,-0.73,-0.95,0.54,52.61,-40.16,-21.48
1777399331872,1965536,-0.72,-0.96,0.55,46.26,-32.29,-19.53
1777399331872,1965546,-0.73,-0.94,0.57,40.89,-21.36,-19.17
1777399331872,1965556,-0.73,-0.92,0.58,37.41,-11.90,-18.55
1777399331873,1965566,-0.76,-0.91,0.61,36.01,-4.33,-18.98
1777399331873,1965576,-0.76,-0.89,0.66,36.01,-0.37,-20.32
1777399331873,1965586,-0.74,-0.85,0.69,35.10,-1.22,-22.64
1777399331873,1965596,-0.70,-0.82,0.69,31.43,-5.19,-22.22
1777399331874,1965616,-0.63,-0.74,0.65,13.49,-11.96,-16.30
1777399331874,1965636,-0.63,-0.68,0.54,2.99,-7.57,-5.25
1777399331874,1965656,-0.63,-0.60,0.49,2.93,1.59,1.10
1777399331874,1965676,-0.64,-0.61,0.47,-3.17,8.00,2.14
