host_time_ms,arduino_time_ms,ax,ay,az,gx,gy,gz
1777399439406,2074509,-0.73,-0.73,-0.34,171.94,42.54,-63.72
1777399439406,2074519,-0.84,-0.65,-0.35,176.33,58.72,-65.61
1777399439407,2074529,-0.97,-0.58,-0.24,176.64,66.53,-68.36
1777399439407,2074539,-1.03,-0.47,-0.03,163.88,59.08,-69.89
1777399439407,2074549,-0.98,-0.53,0.05,138.61,32.04,-66.22
1777399439407,2074559,-0.87,-0.69,0.05,117.07,-0.67,-62.26
1777399439408,2074569,-0.77,-0.77,-0.06,104.19,-26.86,-64.70
1777399439408,2074579,-0.69,-0.77,-0.18,97.84,-40.22,-68.66
1777399439408,2074589,-0.63,-0.69,-0.21,96.13,-38.82,-67.08
1777399439408,2074599,-0.61,-0.68,-0.21,95.52,-24.41,-60.06
1777399439409,2074609,-0.66,-0.70,-0.21,91.25,-2.81,-52.67
1777399439409,2074619,-0.72,-0.66,-0.07,86.49,18.25,-47.12
1777399439409,2074629,-0.78,-0.61,-0.03,80.14,26.49,-41.69
1777399439409,2074639,-0.84,-0.48,0.01,68.12,26.92,-34.00
1777399439410,2074659,-0.88,-0.48,0.02,13.98,-3.72,-19.41
1777399439410,2074679,-0.76,-0.53,-0.21,5.74,-10.50,-21.24
1777399439410,2074699,-0.79,-0.59,-0.28,10.86,4.15,-21.85
1777399439410,2074719,-0.88,-0.55,-0.18,23.44,10.62,-24.23
1777399439411,2074729,-0.92,-0.48,-0.12,24.23,4.82,-25.76
1777399439411,2074739,-0.92,-0.43,-0.11,18.37,-5.86,-26.79
1777399439411,2074749,-0.88,-0.42,-0.11,9.70,-15.50,-25.45
1777399439411,2074759,-0.82,-0.44,-0.15,1.65,-20.51,-20.69
1777399439412,2074769,-0.78,-0.47,-0.20,-2.50,-17.27,-15.38
1777399439412,2074779,-0.75,-0.49,-0.25,-2.26,-6.53,-11.96
1777399439412,2074789,-0.78,-0.51,-0.26,0.61,8.54,-10.38
1777399439412,2074799,-0.79,-0.52,-0.25,4.58,20.81,-10.62
1777399439413,2074809,-0.82,-0.52,-0.23,8.67,24.96,-11.35
1777399439413,2074819,-0.85,-0.53,-0.23,12.76,23.38,-13.00
1777399439413,2074829,-0.86,-0.53,-0.21,17.27,18.37,-17.09
1777399439413,2074839,-0.86,-0.51,-0.19,20.87,9.83,-21.61
1777399439413,2074849,-0.83,-0.48,-0.17,21.36,-0.79,-23.86
1777399439414,2074859,-0.78,-0.46,-0.20,19.71,-9.64,-23.86
1777399439414,2074869,-0.75,-0.45,-0.19,18.07,-13.37,-21.79
1777399439414,2074879,-0.75,-0.43,-0.18,17.88,-14.10,-18.01
1777399439414,2074889,-0.76,-0.42,-0.17,17.76,-11.84,-13.98
1777399439415,2074899,-0.76,-0.41,-0.16,17.27,-7.26,-11.60
1777399439415,2074909,-0.77,-0.41,-0.15,15.99,-2.20,-9.58
1777399439416,2074919,-0.79,-0.43,-0.16,14.83,1.83,-8.24
1777399439416,2074929,-0.78,-0.47,-0.17,15.50,3.85,-8.24
1777399439416,2074939,-0.78,-0.49,-0.17,19.90,3.91,-9.40
1777399439417,2074949,-0.78,-0.49,-0.16,27.28,2.26,-11.17
1777399439417,2074959,-0.77,-0.47,-0.15,35.28,-0.92,-13.55
1777399439417,2074969,-0.80,-0.45,-0.09,41.08,-5.07,-15.63
1777399439417,2074979,-0.80,-0.44,-0.06,43.95,-11.29,-15.38
1777399439417,2074989,-0.80,-0.43,-0.05,43.52,-17.52,-15.93
1777399439418,2075009,-0.81,-0.44,-0.10,40.53,-16.85,-18.07
1777399439418,2075029,-0.83,-0.46,-0.16,50.05,1.34,-19.96
1777399439418,2075049,-0.81,-0.45,-0.11,58.59,10.62,-24.72
1777399439418,2075059,-0.80,-0.43,-0.07,58.35,8.06,-26.67
1777399439419,2075069,-0.74,-0.44,-0.10,57.31,2.26,-26.73
1777399439419,2075079,-0.70,-0.46,-0.10,56.95,-3.17,-24.29
1777399439419,2075089,-0.66,-0.51,-0.13,59.88,-6.96,-19.29
1777399439419,2075099,-0.64,-0.57,-0.13,62.99,-6.84,-15.81
1777399439419,2075109,-0.68,-0.61,-0.13,68.48,-4.39,-15.50
1777399439420,2075119,-0.70,-0.66,-0.17,78.86,-0.61,-17.21
1777399439420,2075129,-0.73,-0.67,-0.17,89.97,5.86,-23.19
1777399439420,2075139,-0.80,-0.61,-0.10,97.66,10.25,-31.01
1777399439420,2075149,-0.85,-0.52,0.10,100.04,9.09,-36.13
1777399439420,2075159,-0.85,-0.50,0.33,87.04,-10.38,-39.55
1777399439421,2075169,-0.78,-0.51,0.15,80.63,-43.82,-38.33
1777399439421,2075179,-0.74,-0.56,0.04,80.38,-59.94,-31.62
1777399439421,2075189,-0.73,-0.61,-0.02,81.05,-62.38,-25.33
1777399439421,2075199,-0.72,-0.61,0.09,79.04,-57.07,-22.40
1777399439421,2075209,-0.71,-0.67,0.21,68.97,-55.18,-23.93
1777399439422,2075219,-0.72,-0.71,0.00,76.78,-57.56,-27.34
1777399439422,2075229,-0.70,-0.70,-0.13,90.27,-47.00,-29.60
1777399439422,2075239,-0.73,-0.65,-0.10,91.55,-27.95,-34.61
1777399439422,2075249,-0.78,-0.60,-0.02,87.59,-13.12,-38.70
1777399439422,2075259,-0.81,-0.60,0.10,89.17,-5.25,-37.60
1777399439423,2075269,-0.83,-0.63,0.20,88.56,-6.65,-35.77
1777399439423,2075279,-0.81,-0.67,0.23,86.49,-15.14,-35.40
1777399439423,2075289,-0.74,-0.72,0.18,87.16,-24.17,-37.23
1777399439423,2075299,-0.64,-0.76,0.12,87.46,-27.53,-41.08
1777399439423,2075309,-0.58,-0.78,0.13,86.06,-24.23,-43.88
1777399439424,2075319,-0.56,-0.76,0.18,88.01,-19.29,-44.19
1777399439424,2075329,-0.56,-0.72,0.21,90.52,-16.30,-43.09
1777399439424,2075349,-0.63,-0.61,0.20,94.36,-7.81,-30.70
1777399439424,2075369,-0.67,-0.71,0.28,99.98,-7.75,-27.04
1777399439424,2075389,-0.67,-0.79,0.33,100.22,-5.86,-31.19
1777399439425,2075409,-0.51,-0.67,0.35,98.75,-5.55,-36.32
1777399439425,2075419,-0.56,-0.60,0.34,98.75,-5.55,-29.36
1777399439425,2075429,-0.57,-0.63,0.46,97.35,-4.33,-20.26
1777399439425,2075439,-0.58,-0.71,0.48,91.31,-6.59,-13.85
1777399439425,2075449,-0.61,-0.76,0.45,85.45,-9.64,-12.33
1777399439426,2075459,-0.67,-0.80,0.46,84.35,-9.95,-13.55
1777399439426,2075469,-0.69,-0.79,0.45,87.16,-10.19,-17.94
1777399439426,2075479,-0.71,-0.67,0.50,85.75,-10.50,-24.72
1777399439426,2075489,-0.71,-0.61,0.54,78.49,-12.70,-27.16
1777399439427,2075499,-0.66,-0.62,0.52,73.12,-17.40,-24.11
1777399439427,2075509,-0.62,-0.65,0.48,69.95,-20.81,-20.45
1777399439427,2075519,-0.61,-0.66,0.44,68.05,-20.45,-18.13
1777399439427,2075529,-0.58,-0.64,0.43,67.87,-16.54,-16.66
1777399439427,2075539,-0.56,-0.60,0.43,67.08,-9.70,-14.95
1777399439428,2075549,-0.57,-0.57,0.47,63.72,-1.65,-11.84
1777399439428,2075559,-0.62,-0.56,0.52,58.90,4.27,-7.20
1777399439428,2075569,-0.67,-0.59,0.54,53.10,5.98,-4.09
1777399439428,2075579,-0.68,-0.62,0.53,48.28,4.03,-4.21
1777399439428,2075589,-0.69,-0.65,0.52,44.19,0.24,-7.87
1777399439428,2075599,-0.70,-0.65,0.54,42.42,-3.78,-11.90
1777399439429,2075609,-0.70,-0.61,0.61,43.15,-9.58,-14.40
1777399439429,2075619,-0.66,-0.59,0.48,45.90,-18.25,-14.16
1777399439429,2075629,-0.65,-0.57,0.51,49.80,-21.24,-11.54
1777399439429,2075639,-0.66,-0.58,0.50,52.92,-21.61,-8.00
1777399439429,2075649,-0.70,-0.59,0.53,56.70,-19.65,-5.55
1777399439429,2075659,-0.74,-0.59,0.55,58.53,-15.38,-6.96
1777399439430,2075669,-0.75,-0.59,0.56,58.41,-8.97,-10.86
1777399439430,2075679,-0.74,-0.59,0.55,54.50,15.44,-24.66
1777399439430,2075699,-0.71,-0.55,0.62,36.19,21.91,-29.24
1777399439430,2075719,-0.64,-0.53,0.62,27.77,20.69,-21.67
1777399439430,2075739,-0.61,-0.53,0.58,22.28,9.58,-10.50
1777399439430,2075749,-0.61,-0.53,0.54,20.57,5.49,-6.23
1777399439431,2075759,-0.60,-0.54,0.51,18.25,6.29,-3.97
1777399439431,2075769,-0.62,-0.58,0.51,16.24,10.62,-3.60
1777399439431,2075779,-0.65,-0.60,0.51,15.38,15.50,-6.53
1777399439431,2075789,-0.65,-0.59,0.54,15.01,18.43,-10.56
1777399439431,2075799,-0.64,-0.56,0.55,15.32,18.31,-13.31
1777399439432,2075809,-0.62,-0.53,0.55,14.95,16.78,-13.00
1777399439432,2075819,-0.59,-0.53,0.55,13.24,14.89,-10.74
1777399439432,2075829,-0.57,-0.54,0.53,10.31,12.39,-8.00
1777399439432,2075839,-0.55,-0.54,0.52,8.24,9.83,-4.94
1777399439432,2075849,-0.55,-0.57,0.52,7.51,7.93,-1.65
1777399439432,2075859,-0.54,-0.60,0.52,8.48,5.19,0.18
1777399439432,2075869,-0.55,-0.58,0.49,11.23,2.81,0.31
1777399439433,2075879,-0.56,-0.58,0.49,12.57,3.54,0.12
1777399439433,2075889,-0.57,-0.59,0.54,12.39,5.74,-0.85
1777399439433,2075899,-0.59,-0.59,0.56,11.90,6.96,-2.26
1777399439433,2075909,-0.60,-0.57,0.57,10.99,6.96,-2.14
1777399439433,2075919,-0.60,-0.58,0.59,8.85,5.98,-0.98
1777399439433,2075929,-0.61,-0.59,0.59,7.14,3.48,0.31
1777399439434,2075939,-0.62,-0.58,0.60,6.53,0.31,0.85
1777399439434,2075949,-0.61,-0.57,0.61,5.68,-3.72,1.83
1777399439434,2075959,-0.61,-0.55,0.60,5.43,-7.63,3.85
1777399439434,2075969,-0.62,-0.56,0.61,5.07,-9.52,5.92
1777399439434,2075979,-0.63,-0.56,0.62,4.03,-9.64,6.71
1777399439434,2075989,-0.64,-0.54,0.65,1.89,-9.03,6.04
1777399439435,2075999,-0.64,-0.52,0.66,-2.56,-8.42,4.82
1777399439435,2076009,-0.63,-0.52,0.65,-7.93,-7.87,4.46
1777399439435,2076019,-0.63,-0.52,0.63,-12.76,-7.39,4.46
1777399439435,2076039,-0.65,-0.53,0.62,-16.36,-9.03,4.76
1777399439435,2076059,-0.63,-0.49,0.56,-16.42,-13.00,5.19
1777399439435,2076079,-0.61,-0.49,0.51,-18.37,-8.18,7.57
1777399439436,2076099,-0.65,-0.48,0.52,-18.07,-0.43,8.91
1777399439436,2076109,-0.67,-0.46,0.53,-18.74,1.16,8.30
1777399439436,2076119,-0.69,-0.45,0.52,-19.59,1.10,9.16
1777399439436,2076129,-0.70,-0.45,0.52,-20.75,0.79,10.74
1777399439436,2076139,-0.71,-0.48,0.53,-22.28,-0.85,12.27
1777399439437,2076149,-0.70,-0.49,0.51,-21.55,-3.30,12.70
1777399439437,2076159,-0.71,-0.48,0.48,-19.96,-4.27,13.00
1777399439437,2076169,-0.72,-0.47,0.47,-19.59,-2.56,13.24
1777399439437,2076179,-0.73,-0.50,0.48,-19.65,0.12,12.76
1777399439437,2076189,-0.74,-0.50,0.47,-17.94,2.32,10.68
1777399439437,2076199,-0.75,-0.48,0.47,-16.85,4.82,7.20
1777399439438,2076209,-0.76,-0.47,0.46,-16.60,7.51,4.09
1777399439438,2076219,-0.77,-0.48,0.45,-15.44,9.70,1.95
1777399439438,2076229,-0.77,-0.49,0.45,-14.77,10.99,0.00
1777399439438,2076239,-0.76,-0.49,0.45,-14.47,10.19,-1.71
1777399439438,2076249,-0.74,-0.50,0.45,-13.79,7.63,-2.99
1777399439438,2076259,-0.72,-0.51,0.45,-12.51,4.09,-2.99
1777399439439,2076269,-0.71,-0.52,0.44,-10.62,-0.43,-1.95
1777399439439,2076279,-0.69,-0.53,0.44,-8.30,-5.19,-1.59
1777399439439,2076289,-0.67,-0.54,0.42,-5.55,-9.64,-2.14
1777399439439,2076299,-0.65,-0.54,0.41,-3.17,-12.76,-3.17
