host_time_ms,arduino_time_ms,ax,ay,az,gx,gy,gz
1777399435193,2070349,-0.62,-0.43,-0.26,207.34,-40.83,-110.29
1777399435193,2070359,-0.51,-0.32,-0.20,215.82,-42.91,-113.95
1777399435194,2070369,-0.46,-0.26,-0.16,210.21,-37.66,-102.29
1777399435194,2070379,-0.48,-0.29,-0.12,191.89,-23.19,-80.14
1777399435194,2070389,-0.58,-0.38,-0.12,168.64,-1.34,-59.33
1777399435194,2070399,-0.71,-0.46,-0.10,151.43,19.90,-46.14
1777399435195,2070409,-0.85,-0.54,-0.04,143.62,29.17,-40.83
1777399435195,2070419,-0.94,-0.62,-0.01,140.62,20.57,-45.23
1777399435195,2070429,-0.91,-0.73,0.00,138.79,-4.09,-55.36
1777399435195,2070439,-0.81,-0.81,-0.04,138.12,-36.74,-66.41
1777399435196,2070449,-0.69,-0.81,-0.10,138.67,-65.31,-74.71
1777399435196,2070459,-0.58,-0.75,-0.16,137.82,-79.71,-77.82
1777399435196,2070469,-0.50,-0.69,-0.19,132.81,-74.52,-72.63
1777399435196,2070479,-0.49,-0.68,-0.20,121.83,-51.82,-59.27
1777399435197,2070489,-0.54,-0.69,-0.19,110.23,-18.74,-42.72
1777399435197,2070509,-0.75,-0.73,-0.08,84.17,52.61,-13.43
1777399435197,2070529,-0.93,-0.71,0.10,78.49,34.79,-18.37
1777399435197,2070549,-0.94,-0.61,0.07,62.87,-12.08,-29.36
1777399435198,2070569,-0.88,-0.53,-0.02,43.64,-36.62,-27.53
1777399435198,2070579,-0.85,-0.52,-0.06,35.10,-33.57,-24.41
1777399435198,2070589,-0.83,-0.54,-0.10,29.17,-22.40,-23.19
1777399435198,2070599,-0.83,-0.55,-0.11,27.83,-6.65,-21.79
1777399435199,2070609,-0.82,-0.56,-0.11,29.72,6.53,-19.84
1777399435199,2070619,-0.81,-0.56,-0.10,32.96,15.69,-19.71
1777399435199,2070629,-0.82,-0.55,-0.07,36.25,20.45,-20.20
1777399435199,2070639,-0.83,-0.53,-0.04,36.68,18.68,-20.75
1777399435200,2070649,-0.84,-0.51,-0.04,33.08,11.23,-21.48
1777399435200,2070659,-0.82,-0.48,-0.06,27.77,1.77,-20.45
1777399435200,2070669,-0.81,-0.45,-0.09,21.30,-7.02,-17.27
1777399435200,2070679,-0.82,-0.48,-0.12,15.69,-11.84,-13.67
1777399435201,2070689,-0.83,-0.50,-0.15,13.79,-11.35,-12.39
1777399435201,2070699,-0.83,-0.52,-0.17,16.36,-6.77,-14.65
1777399435201,2070709,-0.83,-0.51,-0.15,21.67,0.12,-16.48
1777399435201,2070719,-0.84,-0.49,-0.13,26.31,5.25,-16.36
1777399435202,2070729,-0.83,-0.48,-0.11,27.71,8.18,-16.11
1777399435202,2070739,-0.83,-0.48,-0.09,27.47,9.83,-14.89
