host_time_ms,arduino_time_ms,ax,ay,az,gx,gy,gz
1777399447586,2078719,-1.60,0.31,-0.39,117.98,-22.83,-6.96
1777399447586,2078729,-1.71,0.23,-0.32,133.91,-62.62,-37.41
1777399447586,2078739,-1.53,0.31,-0.28,152.10,-107.42,-83.07
1777399447586,2078749,-1.20,0.34,-0.27,163.33,-133.54,-115.30
1777399447587,2078759,-0.96,0.22,-0.25,165.22,-130.37,-122.13
1777399447587,2078769,-0.89,0.10,-0.15,163.76,-103.70,-114.81
1777399447587,2078779,-0.86,0.02,-0.15,155.03,-75.44,-88.01
1777399447588,2078799,-0.84,-0.02,-0.42,130.25,-13.55,-60.36
1777399447588,2078819,-1.00,-0.04,-0.48,140.08,23.19,-65.12
1777399447588,2078839,-1.18,-0.07,-0.55,142.09,-11.78,-104.06
1777399447588,2078859,-0.86,-0.00,-0.56,154.05,-63.72,-134.09
1777399447589,2078869,-0.67,0.02,-0.55,156.74,-76.97,-138.98
1777399447589,2078879,-0.51,0.10,-0.59,159.24,-75.50,-135.80
1777399447590,2078889,-0.44,0.15,-0.61,162.23,-56.40,-121.28
1777399447590,2078899,-0.44,0.13,-0.65,165.34,-24.35,-101.62
1777399447590,2078909,-0.53,0.04,-0.69,175.17,10.80,-86.24
1777399447591,2078919,-0.65,-0.05,-0.65,191.35,44.07,-80.87
1777399447591,2078929,-0.79,-0.10,-0.49,206.24,62.19,-82.58
1777399447591,2078939,-0.84,-0.11,-0.35,214.78,52.31,-85.21
1777399447592,2078949,-0.81,-0.10,-0.27,212.22,20.75,-87.71
1777399447592,2078959,-0.69,-0.18,-0.28,201.29,-15.32,-86.55
1777399447592,2078969,-0.56,-0.24,-0.32,188.54,-42.48,-81.36
1777399447592,2078979,-0.49,-0.27,-0.36,178.28,-56.21,-71.41
1777399447593,2078989,-0.45,-0.31,-0.42,168.52,-55.85,-59.20
1777399447593,2078999,-0.49,-0.40,-0.51,163.27,-41.56,-49.44
1777399447593,2079009,-0.59,-0.50,-0.47,167.11,-17.21,-40.95
1777399447593,2079019,-0.75,-0.52,-0.37,176.03,2.62,-37.78
1777399447594,2079029,-0.93,-0.56,-0.17,179.81,11.23,-41.14
1777399447594,2079039,-1.05,-0.61,-0.00,173.46,-1.71,-48.95
1777399447594,2079049,-1.04,-0.64,0.06,161.19,-34.00,-58.78
