host_time_ms,arduino_time_ms,ax,ay,az,gx,gy,gz
1777398928422,1554222,-0.93,-1.17,0.01,-381.65,160.22,104.92
1777398928423,1554232,-0.87,-0.92,0.12,-215.27,108.22,74.83
1777398928423,1554242,-0.87,-0.65,0.13,-51.39,52.49,44.25
1777398928423,1554252,-0.79,-0.60,0.05,97.17,-2.08,20.81
1777398928423,1554262,-0.72,-0.64,-0.13,233.03,-54.44,-6.84
1777398928424,1554272,-0.74,-0.75,-0.35,356.51,-92.65,-38.57
1777398928424,1554282,-0.76,-0.86,-0.51,469.30,-110.90,-69.46
1777398928424,1554292,-0.85,-1.04,-0.59,574.40,-123.66,-97.66
1777398928425,1554302,-0.91,-1.27,-0.68,668.58,-136.17,-119.08
1777398928425,1554312,-1.00,-1.43,-0.85,754.03,-153.56,-125.31
1777398928425,1554332,-1.12,-1.26,-1.21,849.91,-165.71,-71.23
1777398928425,1554352,-0.65,0.18,-1.21,649.29,-109.01,-12.45
1777398928426,1554372,-0.63,1.12,-0.80,231.02,-83.13,14.71
1777398928426,1554392,-0.62,0.59,-0.67,-338.07,-46.69,42.05
1777398928426,1554402,-0.57,-0.02,-0.54,-571.66,4.15,57.19
1777398928426,1554412,-0.66,-0.52,-0.51,-725.34,50.54,70.01
1777398928427,1554422,-0.79,-0.90,-0.59,-802.55,83.92,83.19
1777398928427,1554432,-0.86,-1.16,-0.59,-815.19,107.06,98.33
1777398928427,1554442,-0.88,-1.32,-0.79,-780.03,120.36,113.59
1777398928427,1554452,-0.93,-1.42,-0.78,-733.76,142.82,124.39
1777398928428,1554462,-1.03,-1.39,-0.54,-681.82,164.79,125.61
1777398928428,1554472,-1.02,-1.34,-0.30,-613.95,173.22,125.67
1777398928429,1554482,-0.99,-1.25,-0.16,-514.40,164.12,120.36
1777398928429,1554492,-0.99,-1.15,-0.03,-386.72,146.18,107.42
1777398928429,1554502,-0.98,-1.00,0.12,-239.81,118.35,85.14
1777398928429,1554512,-0.94,-0.92,0.16,-73.79,72.88,55.60
1777398928430,1554522,-0.89,-0.80,0.03,96.92,13.55,20.32
1777398928430,1554532,-0.79,-0.68,-0.23,252.26,-45.72,-17.21
1777398928430,1554542,-0.82,-0.57,-0.44,378.78,-92.71,-56.34
1777398928430,1554552,-0.84,-0.64,-0.56,467.65,-120.00,-87.10
