host_time_ms,arduino_time_ms,ax,ay,az,gx,gy,gz
1777398939847,1571732,-0.36,0.71,0.30,-235.72,-99.61,35.89
1777398939847,1571742,-0.27,0.44,0.29,-301.76,-100.95,69.40
1777398939848,1571752,-0.20,0.05,0.22,-386.23,-109.31,92.71
1777398939848,1571762,-0.19,-0.32,0.23,-494.02,-122.56,102.17
1777398939848,1571772,-0.09,-0.67,0.40,-606.20,-138.61,98.39
1777398939849,1571782,-0.02,-1.00,0.66,-700.93,-154.79,87.89
1777398939849,1571792,0.24,-1.23,0.89,-760.07,-173.77,73.06
1777398939849,1571802,0.25,-1.64,1.19,-797.06,-190.73,41.69
1777398939849,1571812,0.61,-1.75,1.09,-800.66,-195.25,-0.73
1777398939850,1571822,0.53,-1.75,1.08,-791.56,-179.32,-52.00
1777398939850,1571832,0.29,-1.79,1.46,-735.35,-136.90,-99.55
1777398939850,1571842,0.23,-1.56,1.64,-627.44,-103.82,-140.69
1777398939850,1571852,-0.16,-0.80,1.57,-498.84,-91.06,-166.50
1777398939851,1571862,-0.35,-0.32,1.48,-383.97,-88.75,-160.16
1777398939851,1571872,-0.23,0.09,1.23,-269.29,-100.71,-127.56
1777398939851,1571882,-0.11,0.13,0.88,-129.64,-101.26,-78.37
1777398939852,1571892,-0.02,-0.00,0.69,50.11,-65.61,-19.29
1777398939852,1571902,0.08,-0.37,0.63,251.46,75.93,75.01
1777398939852,1571922,0.25,-1.00,0.83,645.39,176.70,90.52
1777398939853,1571942,0.26,-1.08,1.11,743.65,237.92,44.86
1777398939853,1571962,0.04,-0.65,1.04,741.88,243.96,1.65
1777398939853,1571972,-0.03,-0.47,0.96,717.96,237.67,-5.62
1777398939853,1571982,0.01,-0.42,0.84,675.78,227.42,-8.54
1777398939854,1571992,0.03,-0.36,0.72,615.42,215.64,-13.85
1777398939854,1572002,0.01,-0.21,0.59,530.33,197.39,-24.11
1777398939854,1572012,-0.06,0.02,0.60,416.81,164.98,-34.85
1777398939854,1572022,-0.15,0.23,0.62,276.06,111.45,-43.58
1777398939855,1572032,-0.30,0.39,0.63,124.69,51.21,-47.18
1777398939855,1572042,-0.35,0.55,0.59,-11.17,-2.75,-43.09
1777398939855,1572052,-0.36,0.57,0.59,-109.62,-34.73,-29.17
1777398939855,1572062,-0.36,0.53,0.64,-169.43,-48.71,-10.13
1777398939855,1572072,-0.31,0.37,0.70,-203.19,-54.20,8.73
1777398939856,1572082,-0.23,0.11,0.78,-228.52,-58.04,22.09
1777398939856,1572092,-0.18,-0.11,0.84,-259.28,-66.10,23.68
1777398939856,1572102,-0.16,-0.24,0.86,-297.36,-78.55,14.28
1777398939857,1572112,-0.13,-0.29,0.96,-336.55,-92.47,-0.06
1777398939857,1572122,-0.21,-0.33,1.10,-371.09,-110.17,-13.92
1777398939857,1572132,0.03,-0.39,0.86,-397.77,-126.22,-27.77
1777398939857,1572142,-0.13,-0.21,0.93,-415.65,-125.43,-39.49
1777398939858,1572152,-0.22,-0.31,0.85,-426.76,-128.66,-38.27
1777398939858,1572162,-0.17,-0.21,0.87,-425.17,-120.48,-36.50
1777398939858,1572172,-0.16,-0.36,0.87,-415.65,-111.63,-28.38
1777398939858,1572182,-0.06,-0.51,0.99,-388.67,-96.86,-27.28
1777398939859,1572192,0.04,-0.60,1.18,-338.68,-79.47,-34.85
1777398939859,1572202,0.05,-0.58,1.30,-266.54,-62.62,-47.55
1777398939859,1572212,-0.02,-0.46,1.27,-185.67,-50.96,-56.52
1777398939859,1572222,-0.07,-0.42,1.14,-108.28,-42.97,-56.46
1777398939860,1572232,-0.14,-0.45,0.96,-39.86,-35.52,-50.54
1777398939860,1572242,-0.12,-0.50,0.81,21.36,-22.46,-33.87
1777398939860,1572262,-0.06,-0.54,0.62,152.47,45.10,-21.30
1777398939860,1572282,-0.03,-0.64,0.75,193.97,77.21,-12.82
1777398939860,1572302,0.08,-0.55,0.91,253.17,65.37,-31.98
1777398939861,1572322,0.13,-0.33,1.04,284.73,51.33,-49.62
1777398939861,1572332,0.03,-0.27,1.03,265.14,48.46,-57.86
1777398939861,1572342,-0.03,-0.27,1.00,226.26,47.06,-65.06
